_id,neighborhood_municipality,bivalent_booster
25686,Homestead,410
25687,Wilkinsburg,2973
25688,Carnegie,1339
25689,Leet,262
25690,Bethel Park,7968
25691,Bluff (Pittsburgh),186
25692,Elliott (Pittsburgh),306
25693,Ingram,621
25694,Wall,72
25695,Indiana,1690
25696,Central Oakland (Pittsburgh),405
25697,Crafton,1181
